Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[599d34ad-b052-46fc-b3bb-e3b7d42b4e7a] GET /api/v1/dashboard/trends -> 200 861ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[48b851f5-0549-47c6-815c-912c058382e8] GET /api/v1/dashboard/overview -> 200 821ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[25ff562f-8323-4e69-a425-716b3d6e9b61] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[c4bfe73a-9fd4-490f-9e5a-3592666a2bba] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[8394a634-9fc5-470c-b413-a1cf68b01f81] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[d4ab53ec-d91e-44f0-b329-52d6d4445d2c] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[e16d7ca2-0bb3-4511-a9eb-2b0c160bd0c1] GET /api/v1/dashboard/overview -> 200 1097ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[28bf85d5-de37-4399-89d9-ff9e0faa8b7d] GET /api/v1/inspections?page=1&limit=8 -> 200 1103ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[1ead06d4-cd23-4359-9ca0-0110cbbf36dc] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1303ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[28bf098d-dda9-4118-96db-0e717cbab60e] GET /api/v1/dashboard/trends -> 200 1491ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
